64,192,1751,5,0,0:0:0:0:
448,192,1970,1,0,0:0:0:0:
192,192,2189,1,0,0:0:0:0:
320,192,2408,1,0,0:0:0:0:
320,192,2627,1,0,0:0:0:0:
192,192,2846,1,0,0:0:0:0:
448,192,3065,1,0,0:0:0:0:
64,192,3284,1,0,0:0:0:0:
64,192,3503,1,0,0:0:0:0:
64,192,3722,1,0,0:0:0:0:
192,192,3941,1,0,0:0:0:0:
192,192,4160,1,0,0:0:0:0:
320,192,4379,1,0,0:0:0:0:
320,192,4598,1,0,0:0:0:0:
448,192,4817,1,0,0:0:0:0:
448,192,5036,1,0,0:0:0:0:
64,192,5255,128,0,6131:0:0:0:0:
448,192,6131,1,0,0:0:0:0:
320,192,6569,128,0,7007:0:0:0:0:
192,192,7007,128,0,7883:0:0:0:0:
320,192,7883,1,0,0:0:0:0:
448,192,7883,128,0,8759:0:0:0:0:
320,192,8759,128,0,9635:0:0:0:0:
192,192,8759,1,0,0:0:0:0:
448,192,10510,128,0,11386:0:0:0:0:
64,192,10510,128,0,10948:0:0:0:0:
64,192,11386,1,0,0:0:0:0:
192,192,12262,128,0,12700:0:0:0:0:
320,192,12262,1,0,0:0:0:0:
320,192,12700,1,0,0:0:0:0:
192,192,13138,1,0,0:0:0:0:
320,192,13138,128,0,13576:0:0:0:0:
192,192,13576,1,0,0:0:0:0:
64,192,14014,128,0,14452:0:0:0:0:
320,192,14014,128,0,14452:0:0:0:0:
448,192,14014,1,0,0:0:0:0:
448,192,14452,1,0,0:0:0:0:
448,192,14890,128,0,15328:0:0:0:0:
192,192,14890,128,0,15328:0:0:0:0:
64,192,14890,1,0,0:0:0:0:
320,192,15328,1,0,0:0:0:0:
192,192,15766,128,0,17518:0:0:0:0:
320,192,16204,128,0,17518:0:0:0:0:
64,192,16642,128,0,17518:0:0:0:0:
448,192,17518,1,0,0:0:0:0:
